layout,gset,dset,pmethod,n_process,time
0,32,32,1,64,4.98
0,32,32,1,128,4.12
0,32,32,0,1,220.17
0,32,32,0,2,125.98
0,32,32,0,4,68.13
0,32,32,0,8,53.29
0,32,32,0,16,49.73
0,32,32,0,32,52.07
0,32,32,0,64,42.99
0,32,32,0,128,38.14
0,64,8,1,1,123.33
0,64,8,1,2,65.18
0,64,8,1,4,31.47
0,64,8,1,8,16.86
0,64,8,1,16,9.3
0,64,8,1,32,5.65
0,64,8,1,64,3.82
0,64,8,1,128,3.07
0,64,8,0,1,169.49
0,64,8,0,2,93.52
0,64,8,0,4,47.69
0,64,8,0,8,33.07
0,64,8,0,16,28.67
0,64,8,0,32,27.24
0,64,8,0,64,22.7
0,64,8,0,128,19.82
0,64,16,1,1,123.42
0,64,16,1,2,64.85
0,64,16,1,4,31.99
0,64,16,1,8,18.78
0,64,16,1,16,9.74
0,64,16,1,32,5.85
0,64,16,1,64,3.92
0,64,16,1,128,4.8
0,64,16,0,1,217.6
0,64,16,0,2,124.88
0,64,16,0,4,66.17
0,64,16,0,8,49.09
0,64,16,0,16,49.63
0,64,16,0,32,51.75
0,64,16,0,64,43.28
0,64,16,0,128,38.37
0,64,32,1,1,129.24
0,64,32,1,2,65.48
0,64,32,1,4,32.92
0,64,32,1,8,17.22
0,64,32,1,16,9.39
0,64,32,1,32,7.52
0,64,32,1,64,5.76
0,64,32,1,128,4.9
0,64,32,0,1,319.09
0,64,32,0,2,191.41
0,64,32,0,4,105.74
0,64,32,0,8,87.38
0,64,32,0,16,98.1
0,64,32,0,32,106.33
0,64,32,0,64,88.08
0,64,32,0,128,79.59
0,128,8,1,1,125.0
0,128,8,1,2,62.19
0,128,8,1,4,32.39
0,128,8,1,8,17.58
0,128,8,1,16,9.89
0,128,8,1,32,7.16
0,128,8,1,64,9.81
0,128,8,1,128,5.19
0,128,8,0,1,219.96
0,128,8,0,2,121.17
0,128,8,0,4,66.7
0,128,8,0,8,49.3
0,128,8,0,16,49.74
0,128,8,0,32,52.41
0,128,8,0,64,43.89
0,128,8,0,128,38.41
0,128,16,1,1,125.93
0,128,16,1,2,62.6
0,128,16,1,4,32.45
0,128,16,1,8,17.56
0,128,16,1,16,9.96
0,128,16,1,32,8.43
0,128,16,1,64,6.29
0,128,16,1,128,5.69
0,128,16,0,1,319.53
0,128,16,0,2,188.19
0,128,16,0,4,105.79
0,128,16,0,8,87.38
0,128,16,0,16,97.18
0,128,16,0,32,104.83
0,128,16,0,64,88.33
0,128,16,0,128,78.54
0,128,32,1,1,127.94
0,128,32,1,2,63.64
0,128,32,1,4,33.0
0,128,32,1,8,17.76
0,128,32,1,16,10.2
0,128,32,1,32,6.95
0,128,32,1,64,4.61
0,128,32,1,128,3.7
0,128,32,0,1,538.64
0,128,32,0,2,332.35
0,128,32,0,4,195.38
0,128,32,0,8,176.41
0,128,32,0,16,201.18
0,128,32,0,32,216.0
0,128,32,0,64,178.54
0,128,32,0,128,160.59
1,1,8,1,1,122.71
1,1,8,1,2,66.61
1,1,8,1,4,31.73
1,1,8,1,8,18.89
1,1,8,1,16,12.77
1,1,8,1,32,8.6
1,1,8,1,64,6.02
1,1,8,1,128,5.06
1,1,8,0,1,123.73
1,1,8,0,2,66.9
1,1,8,0,4,30.84
1,1,8,0,8,17.84
1,1,8,0,16,11.45
1,1,8,0,32,6.85
1,1,8,0,64,4.27
1,1,8,0,128,3.13
1,1,16,1,1,122.34
1,1,16,1,2,66.77
1,1,16,1,4,31.32
1,1,16,1,8,18.45
1,1,16,1,16,12.19
1,1,16,1,32,7.62
1,1,16,1,64,5.21
1,1,16,1,128,4.01
1,1,16,0,1,124.93
1,1,16,0,2,67.15
1,1,16,0,4,31.48
1,1,16,0,8,18.37
1,1,16,0,16,12.02
1,1,16,0,32,7.46
1,1,16,0,64,4.63
1,1,16,0,128,3.23
1,1,32,1,1,122.56
1,1,32,1,2,66.59
1,1,32,1,4,32.4
1,1,32,1,8,18.53
1,1,32,1,16,12.24
1,1,32,1,32,7.62
1,1,32,1,64,4.45
1,1,32,1,128,3.4
1,1,32,0,1,125.92
1,1,32,0,2,68.37
1,1,32,0,4,32.84
1,1,32,0,8,19.08
1,1,32,0,16,13.07
1,1,32,0,32,8.41
1,1,32,0,64,5.0
1,1,32,0,128,3.89
1,2,8,1,1,117.98
1,2,8,1,2,62.46
1,2,8,1,4,30.86
1,2,8,1,8,17.17
1,2,8,1,16,10.46
1,2,8,1,32,7.33
1,2,8,1,64,4.98
1,2,8,1,128,3.86
1,2,8,0,1,117.94
1,2,8,0,2,62.52
1,2,8,0,4,31.0
1,2,8,0,8,17.14
1,2,8,0,16,15.34
1,2,8,0,32,7.16
1,2,8,0,64,4.55
1,2,8,0,128,3.24
1,2,16,1,1,118.29
1,2,16,1,2,62.44
1,2,16,1,4,30.83
1,2,16,1,8,17.11
1,2,16,1,16,10.43
1,2,16,1,32,7.06
1,2,16,1,64,4.32
1,2,16,1,128,3.24
1,2,16,0,1,122.04
1,2,16,0,2,64.63
1,2,16,0,4,32.16
1,2,16,0,8,17.65
1,2,16,0,16,11.12
1,2,16,0,32,7.87
1,2,16,0,64,4.9
1,2,16,0,128,3.94
1,2,32,1,1,119.16
1,2,32,1,2,62.73
1,2,32,1,4,30.9
1,2,32,1,8,17.18
1,2,32,1,16,10.51
1,2,32,1,32,7.52
1,2,32,1,64,4.2
1,2,32,1,128,3.41
1,2,32,0,1,125.58
1,2,32,0,2,66.18
1,2,32,0,4,32.71
1,2,32,0,8,18.72
1,2,32,0,16,12.47
1,2,32,0,32,8.9
1,2,32,0,64,5.97
1,2,32,0,128,4.81
1,4,8,1,1,113.06
1,4,8,1,2,58.63
1,4,8,1,4,30.71
1,4,8,1,8,17.0
1,4,8,1,16,10.15
1,4,8,1,32,6.72
1,4,8,1,64,4.12
1,4,8,1,128,3.33
1,4,8,0,1,119.06
1,4,8,0,2,60.99
1,4,8,0,4,31.69
1,4,8,0,8,17.48
1,4,8,0,16,10.84
1,4,8,0,32,7.54
1,4,8,0,64,4.69
1,4,8,0,128,3.5
1,4,16,1,1,114.54
1,4,16,1,2,59.33
1,4,16,1,4,30.25
1,4,16,1,8,16.46
1,4,16,1,16,9.75
1,4,16,1,32,6.21
1,4,16,1,64,3.74
1,4,16,1,128,3.12
1,4,16,0,1,120.17
1,4,16,0,2,63.46
1,4,16,0,4,31.94
1,4,16,0,8,18.03
1,4,16,0,16,11.64
1,4,16,0,32,8.51
1,4,16,0,64,5.7
1,4,16,0,128,4.5
1,4,32,1,1,114.41
1,4,32,1,2,59.22
1,4,32,1,4,29.71
1,4,32,1,8,16.22
1,4,32,1,16,9.59
1,4,32,1,32,6.24
1,4,32,1,64,3.82
1,4,32,1,128,2.69
1,4,32,0,1,128.01
1,4,32,0,2,66.62
1,4,32,0,4,33.84
1,4,32,0,8,19.66
1,4,32,0,16,13.88
1,4,32,0,32,11.32
1,4,32,0,64,7.95
1,4,32,0,128,6.55
1,8,8,1,1,114.34
1,8,8,1,2,60.54
1,8,8,1,4,30.48
1,8,8,1,8,16.58
1,8,8,1,16,9.59
1,8,8,1,32,5.83
1,8,8,1,64,3.8
1,8,8,1,128,2.9
