layout,gset,dset,pmethod,n_process,time
DGZ,16,32,sweep,128,2.95
DGZ,16,32,bj,1,178.49
DGZ,16,32,bj,2,98.13
DGZ,16,32,bj,4,50.57
DGZ,16,32,bj,8,33.09
DGZ,16,32,bj,16,28.43
DGZ,16,32,bj,32,27.20
DGZ,16,32,bj,64,23.26
DGZ,16,32,bj,128,20.36
DGZ,32,8,sweep,1,123.38
DGZ,32,8,sweep,2,64.57
DGZ,32,8,sweep,4,32.62
DGZ,32,8,sweep,8,16.67
DGZ,32,8,sweep,16,9.40
DGZ,32,8,sweep,32,5.72
DGZ,32,8,sweep,64,3.74
DGZ,32,8,sweep,128,2.96
DGZ,32,8,bj,1,147.14
DGZ,32,8,bj,2,78.85
DGZ,32,8,bj,4,40.90
DGZ,32,8,bj,8,23.54
DGZ,32,8,bj,16,18.47
DGZ,32,8,bj,32,15.90
DGZ,32,8,bj,64,12.50
DGZ,32,8,bj,128,10.93
DGZ,32,16,sweep,1,124.82
DGZ,32,16,sweep,2,65.12
DGZ,32,16,sweep,4,33.24
DGZ,32,16,sweep,8,16.86
DGZ,32,16,sweep,16,9.92
DGZ,32,16,sweep,32,5.64
DGZ,32,16,sweep,64,4.24
DGZ,32,16,sweep,128,3.07
DGZ,32,16,bj,1,176.83
DGZ,32,16,bj,2,96.04
DGZ,32,16,bj,4,50.17
DGZ,32,16,bj,8,32.28
DGZ,32,16,bj,16,28.67
DGZ,32,16,bj,32,27.17
DGZ,32,16,bj,64,22.51
DGZ,32,16,bj,128,19.96
DGZ,32,32,sweep,1,129.03
DGZ,32,32,sweep,2,67.16
DGZ,32,32,sweep,4,33.89
DGZ,32,32,sweep,8,17.10
DGZ,32,32,sweep,16,9.27
DGZ,32,32,sweep,32,5.84
DGZ,32,32,sweep,64,4.98
DGZ,32,32,sweep,128,4.12
DGZ,32,32,bj,1,220.17
DGZ,32,32,bj,2,125.98
DGZ,32,32,bj,4,68.13
DGZ,32,32,bj,8,53.29
DGZ,32,32,bj,16,49.73
DGZ,32,32,bj,32,52.07
DGZ,32,32,bj,64,42.99
DGZ,32,32,bj,128,38.14
DGZ,64,8,sweep,1,123.33
DGZ,64,8,sweep,2,65.18
DGZ,64,8,sweep,4,31.47
DGZ,64,8,sweep,8,16.86
DGZ,64,8,sweep,16,9.30
DGZ,64,8,sweep,32,5.65
DGZ,64,8,sweep,64,3.82
DGZ,64,8,sweep,128,3.07
DGZ,64,8,bj,1,169.49
DGZ,64,8,bj,2,93.52
DGZ,64,8,bj,4,47.69
DGZ,64,8,bj,8,33.07
DGZ,64,8,bj,16,28.67
DGZ,64,8,bj,32,27.24
DGZ,64,8,bj,64,22.70
DGZ,64,8,bj,128,19.82
DGZ,64,16,sweep,1,123.42
DGZ,64,16,sweep,2,64.85
DGZ,64,16,sweep,4,31.99
DGZ,64,16,sweep,8,18.78
DGZ,64,16,sweep,16,9.74
DGZ,64,16,sweep,32,5.85
DGZ,64,16,sweep,64,3.92
DGZ,64,16,sweep,128,4.80
DGZ,64,16,bj,1,217.60
DGZ,64,16,bj,2,124.88
DGZ,64,16,bj,4,66.17
DGZ,64,16,bj,8,49.09
DGZ,64,16,bj,16,49.63
DGZ,64,16,bj,32,51.75
DGZ,64,16,bj,64,43.28
DGZ,64,16,bj,128,38.37
DGZ,64,32,sweep,1,129.24
DGZ,64,32,sweep,2,65.48
DGZ,64,32,sweep,4,32.92
DGZ,64,32,sweep,8,17.22
DGZ,64,32,sweep,16,9.39
DGZ,64,32,sweep,32,7.52
DGZ,64,32,sweep,64,5.76
DGZ,64,32,sweep,128,4.90
DGZ,64,32,bj,1,319.09
DGZ,64,32,bj,2,191.41
DGZ,64,32,bj,4,105.74
DGZ,64,32,bj,8,87.38
DGZ,64,32,bj,16,98.10
DGZ,64,32,bj,32,106.33
DGZ,64,32,bj,64,88.08
DGZ,64,32,bj,128,79.59
DGZ,128,8,sweep,1,125.00
DGZ,128,8,sweep,2,62.19
DGZ,128,8,sweep,4,32.39
DGZ,128,8,sweep,8,17.58
DGZ,128,8,sweep,16,9.89
DGZ,128,8,sweep,32,7.16
DGZ,128,8,sweep,64,9.81
DGZ,128,8,sweep,128,5.19
DGZ,128,8,bj,1,219.96
DGZ,128,8,bj,2,121.17
DGZ,128,8,bj,4,66.70
DGZ,128,8,bj,8,49.30
DGZ,128,8,bj,16,49.74
DGZ,128,8,bj,32,52.41
DGZ,128,8,bj,64,43.89
DGZ,128,8,bj,128,38.41
DGZ,128,16,sweep,1,125.93
DGZ,128,16,sweep,2,62.60
DGZ,128,16,sweep,4,32.45
DGZ,128,16,sweep,8,17.56
DGZ,128,16,sweep,16,9.96
DGZ,128,16,sweep,32,8.43
DGZ,128,16,sweep,64,6.29
DGZ,128,16,sweep,128,5.69
DGZ,128,16,bj,1,319.53
DGZ,128,16,bj,2,188.19
DGZ,128,16,bj,4,105.79
DGZ,128,16,bj,8,87.38
DGZ,128,16,bj,16,97.18
DGZ,128,16,bj,32,104.83
DGZ,128,16,bj,64,88.33
DGZ,128,16,bj,128,78.54
DGZ,128,32,sweep,1,127.94
DGZ,128,32,sweep,2,63.64
DGZ,128,32,sweep,4,33.00
DGZ,128,32,sweep,8,17.76
DGZ,128,32,sweep,16,10.20
DGZ,128,32,sweep,32,6.95
DGZ,128,32,sweep,64,4.61
DGZ,128,32,sweep,128,3.70
DGZ,128,32,bj,1,538.64
DGZ,128,32,bj,2,332.35
DGZ,128,32,bj,4,195.38
DGZ,128,32,bj,8,176.41
DGZ,128,32,bj,16,201.18
DGZ,128,32,bj,32,216.00
DGZ,128,32,bj,64,178.54
DGZ,128,32,bj,128,160.59
DZG,1,8,sweep,1,122.71
DZG,1,8,sweep,2,66.61
DZG,1,8,sweep,4,31.73
DZG,1,8,sweep,8,18.89
DZG,1,8,sweep,16,12.77
DZG,1,8,sweep,32,8.60
DZG,1,8,sweep,64,6.02
DZG,1,8,sweep,128,5.06
DZG,1,8,bj,1,123.73
DZG,1,8,bj,2,66.90
DZG,1,8,bj,4,30.84
DZG,1,8,bj,8,17.84
DZG,1,8,bj,16,11.45
DZG,1,8,bj,32,6.85
DZG,1,8,bj,64,4.27
DZG,1,8,bj,128,3.13
DZG,1,16,sweep,1,122.34
DZG,1,16,sweep,2,66.77
DZG,1,16,sweep,4,31.32
DZG,1,16,sweep,8,18.45
DZG,1,16,sweep,16,12.19
DZG,1,16,sweep,32,7.62
DZG,1,16,sweep,64,5.21
DZG,1,16,sweep,128,4.01
DZG,1,16,bj,1,124.93
DZG,1,16,bj,2,67.15
DZG,1,16,bj,4,31.48
DZG,1,16,bj,8,18.37
DZG,1,16,bj,16,12.02
DZG,1,16,bj,32,7.46
